P04-DIP	1932.6845	-79080.44715	1605	0	0	1595.231027
P05-DIP	-7993.96345	-78699.10378	1605	0	0	1469.567368
P07-DIP	-27314.48963	-74238.60885	1605	0	0	1218.239556
P08-DIP	-36403.67163	-70229.80193	1605	0	0	1092.575808
P09-DIP	-44918.74598	-65113.42908	1605	0	0	966.912502
P10-DIP	-52725.42485	-58970.17858	1605	0	0	841.248615
P12-DIP	-65734.24575	-44005.242	1605	0	0	589.921293
P13-DIP	-70731.23083	-35419.56195	1605	0	0	464.257316
P15-DIP	-77317.56605	-16716.64945	1605	0	0	212.930067
P16-DIP	-78803.04568	-6894.37315	1605	0	0	87.266521
P17-DIP	-79045.7542	3036.631575	1605	0	0	-38.397083
P18-DIP	-78041.86398	12919.74678	1605	0	0	-164.061221
P21-DIP	-67805.41405	40741.60305	1605	0	0	-541.051859
P11-DIP	-59700.5923	-51896.93313	1605	0	0	715.585257
P14-DIP	-74612.7422	-26275.29428	1605	0	0	338.593824
P19-DIP	-75807.2069	22599.1099	1605	0	0	-289.724693
P20-DIP	-72377.0249	31922.07153	1605	0	0	-415.388436
P22-DIP	-62164.4712	48918.61515	1605	0	0	-666.715703
P23-DIP	-55543.15755	56324.15143	1605	0	0	-792.379701
P24-DIP	-48045.89518	62841.4222	1605	0	0	-918.043373
P25-DIP	-39790.92028	68367.6462	1605	0	0	-1043.706965
P27-DIP	-21538.47313	76115.35038	1605	0	0	-1295.034065
P26-DIP	-30908.4188	72815.67163	1605	0	0	-1169.370775
P28-DIP	-11828.85288	78214.6446	1605	0	0	-1420.697867
P29-DIP	-1932.6845	79080.44715	1605	0	0	-1546.361627
P30-DIP	7993.96345	78699.10378	1605	0	0	-1672.025285
P31-DIP	17794.5418	77076.62855	1605	0	0	-1797.68906
P32-DIP	27314.48963	74238.60885	1605	0	0	-1923.353097
P33-DIP	36403.67163	70229.80193	1605	0	0	-2049.016846
P34-DIP	44918.74598	65113.42908	1605	0	0	-2174.680152
P35-DIP	52725.42485	58970.17858	1605	0	0	-2300.344039
