P01-DIP-C01	31380.169181	-72478.482667	1604.174810
P01-DIP-C02	30337.931033	-72920.817514	1604.191824
P01-DIP-C03	30435.977756	-73151.866362	1604.133914
P01-DIP-C04	31478.517358	-72709.446248	1604.043838
P02-DIP-C01	22048.421169	-75838.784612	1604.824215
P02-DIP-C02	20959.659368	-76148.057126	1604.142745
P02-DIP-C03	21028.070960	-76389.559037	1604.142227
P02-DIP-C04	22117.114399	-76081.444528	1604.110109
P03-DIP-C01	12369.023438	-78004.835908	1604.027906
P03-DIP-C02	11249.768243	-78173.860109	1604.019347
P03-DIP-C03	11287.215672	-78422.030320	1603.978284
P03-DIP-C04	12406.766915	-78252.946494	1603.940407
P04-DIP-C01	2495.262733	-78939.863587	1604.207922
P04-DIP-C02	1364.112695	-78967.627507	1604.225522
P04-DIP-C03	1370.296222	-79218.613920	1604.253571
P04-DIP-C04	2501.770655	-79190.824950	1604.206667
P05-DIP-C01	-7418.416213	-78630.235748	1604.531396
P05-DIP-C02	-8544.368659	-78515.955193	1604.609404
P05-DIP-C03	-8569.626641	-78765.675886	1604.542633
P05-DIP-C04	-7443.586866	-78879.987303	1604.482162
P06-DIP-C01	-17214.010372	-77080.386539	1604.666345
P06-DIP-C02	-18317.573236	-76825.579045	1604.689901
P06-DIP-C03	-18374.064695	-77070.131501	1604.762303
P06-DIP-C04	-17270.405015	-77324.916926	1604.743658
P07-DIP-C01	-26739.327951	-74314.799414	1605.042577
P07-DIP-C02	-27801.460188	-73923.978127	1605.096691
P07-DIP-C03	-27888.083079	-74159.575052	1605.088163
P07-DIP-C04	-26825.679055	-74550.486683	1604.962857
P08-DIP-C01	-35842.800646	-70377.390415	1604.893867
P08-DIP-C02	-36847.589560	-69856.638614	1604.986198
P08-DIP-C03	-36962.980199	-70079.414574	1604.942087
P08-DIP-C04	-35958.182569	-70600.329553	1604.887819
P09-DIP-C01	-44380.535987	-65330.313599	1605.241338
P09-DIP-C02	-45312.624271	-64687.314426	1605.208083
P09-DIP-C03	-45455.057335	-64893.970471	1605.168666
P09-DIP-C04	-44522.884446	-65537.019996	1605.201980
P10-DIP-C01	-52219.154292	-59252.589868	1605.101969
P10-DIP-C02	-53062.554696	-58498.519288	1604.914990
P10-DIP-C03	-53229.852312	-58685.576842	1604.932622
P10-DIP-C04	-52386.261645	-59439.892483	1604.988098
P11-DIP-C01	-59233.945205	-52240.855210	1604.805376
P11-DIP-C02	-59975.791356	-51387.353086	1604.759261
P11-DIP-C03	-60165.010628	-51552.289870	1604.736269
P11-DIP-C04	-59423.343205	-52405.586915	1604.749829
P12-DIP-C01	-65314.146737	-44405.319236	1604.311004
P12-DIP-C02	-65943.783882	-43464.996226	1604.565538
P12-DIP-C03	-66152.371014	-43604.578796	1604.666774
P12-DIP-C04	-65522.550822	-44545.214879	1604.518970
P13-DIP-C01	-70364.819094	-35868.954978	1604.269465
P13-DIP-C02	-70871.542300	-34857.245936	1604.262156
P13-DIP-C03	-71095.921838	-34969.704523	1604.213187
P13-DIP-C04	-70589.064693	-35981.760495	1604.190089
P14-DIP-C01	-74305.130481	-26767.870789	1604.377281
P14-DIP-C02	-74681.575951	-25698.941512	1604.406103
P14-DIP-C03	-74918.389844	-25782.273466	1604.387444
P14-DIP-C04	-74541.811739	-26851.605378	1604.259548
P15-DIP-C01	-77074.464027	-17243.236901	1604.844253
P15-DIP-C02	-77313.631467	-16136.691992	1604.780322
P15-DIP-C03	-77558.956547	-16189.805800	1604.719132
