P24-DIP-C03	-47672.482200	63284.896000	1605.000000
P24-DIP-C04	-48571.759500	62597.346500	1605.000000
P25-DIP-C01	-40216.970800	67974.470400	1605.000000
P25-DIP-C02	-39238.611700	68543.889000	1605.000000
P25-DIP-C03	-39364.869800	68760.822000	1605.000000
P25-DIP-C04	-40343.228800	68191.403400	1605.000000
P26-DIP-C01	-31380.387800	72478.994400	1605.000000
P26-DIP-C02	-30338.376300	72921.302100	1605.000000
P26-DIP-C03	-30436.449800	73152.348800	1605.000000
P26-DIP-C04	-31478.461300	72710.041200	1605.000000
P27-DIP-C01	-22048.917300	75840.481400	1605.000000
P27-DIP-C02	-20959.686600	76148.702600	1605.000000
P27-DIP-C03	-21028.028900	76390.219400	1605.000000
P27-DIP-C04	-22117.259700	76081.998100	1605.000000
P28-DIP-C01	-12369.722300	78005.918700	1605.000000
P28-DIP-C02	-11250.450100	78175.192700	1605.000000
P28-DIP-C03	-11287.983400	78423.370500	1605.000000
P28-DIP-C04	-12407.255700	78254.096500	1605.000000
P29-DIP-C01	-2495.449300	78941.156000	1605.000000
P29-DIP-C02	-1363.787200	78968.813200	1605.000000
P29-DIP-C03	-1369.919700	79219.738300	1605.000000
P29-DIP-C04	-2501.581800	79192.081100	1605.000000
P30-DIP-C01	7418.178400	78631.444100	1605.000000
P30-DIP-C02	8544.383400	78517.048400	1605.000000
P30-DIP-C03	8569.748500	78766.763400	1605.000000
P30-DIP-C04	7443.543500	78881.159200	1605.000000
P31-DIP-C01	17214.817000	77081.667400	1605.000000
P31-DIP-C02	18317.803900	76827.022800	1605.000000
P31-DIP-C03	18374.266600	77071.589700	1605.000000
P31-DIP-C04	17271.279700	77326.234300	1605.000000
P32-DIP-C01	26739.967600	74316.266800	1605.000000
P32-DIP-C02	27802.341800	73925.389200	1605.000000
P32-DIP-C03	27889.011600	74160.950900	1605.000000
P32-DIP-C04	26826.637500	74551.828500	1605.000000
P33-DIP-C01	35843.413000	70378.854200	1605.000000
P33-DIP-C02	36848.420100	69857.908000	1605.000000
P33-DIP-C03	36963.930200	70080.749700	1605.000000
P33-DIP-C04	35958.923200	70601.695800	1605.000000
P34-DIP-C01	44381.586400	65331.525000	1605.000000
P34-DIP-C02	45313.376800	64688.725900	1605.000000
P34-DIP-C03	45455.905500	64895.333100	1605.000000
P34-DIP-C04	44524.115200	65538.132300	1605.000000
P35-DIP-C01	52219.835600	59253.878700	1605.000000
P35-DIP-C02	53063.714400	58499.364000	1605.000000
P35-DIP-C03	53231.014100	58686.478400	1605.000000
P35-DIP-C04	52387.135300	59440.993200	1605.000000
P36-DIP-C01	59234.546800	52241.763300	1605.000000
P36-DIP-C02	59977.205700	51387.432100	1605.000000
P36-DIP-C03	60166.637800	51552.102900	1605.000000
P36-DIP-C04	59423.978900	52406.434200	1605.000000
P37-DIP-C01	65315.093900	44405.764100	1605.000000
P37-DIP-C02	65944.820500	43465.089700	1605.000000
P37-DIP-C03	66153.397600	43604.719900	1605.000000
P37-DIP-C04	65523.671000	44545.394300	1605.000000
P38-DIP-C01	70365.582800	35869.459500	1605.000000
P38-DIP-C02	70872.446100	34857.276900	1605.000000
P38-DIP-C03	71096.878800	34969.664400	1605.000000
P38-DIP-C04	70590.015600	35981.847000	1605.000000
P39-DIP-C01	74306.364600	26767.472100	1605.000000
P39-DIP-C02	74682.371000	25699.744000	1605.000000
P39-DIP-C03	74919.119800	25783.116500	1605.000000
P39-DIP-C04	74543.113400	26850.844500	1605.000000
P40-DIP-C01	77075.290500	17243.345600	1605.000000
P40-DIP-C02	77314.510200	16136.910800	1605.000000
P40-DIP-C03	77559.841600	16189.953300	1605.000000
P40-DIP-C04	77320.621900	17296.388100	1605.000000
P41-DIP-C01	78628.693100	7447.281300	1605.000000
P41-DIP-C02	78727.353400	6319.588900	1605.000000
P41-DIP-C03	78977.398300	6341.465000	1605.000000
P41-DIP-C04	78878.737900	7469.157400	1605.000000
P42-DIP-C01	78942.074200	-2466.231100	1605.000000
P42-DIP-C02	78898.619200	-3597.396700	1605.000000
P42-DIP-C03	79149.434200	-3607.032100	1605.000000
P42-DIP-C04	79192.889200	-2475.866400	1605.000000
P43-DIP-C01	78010.491600	-12340.849500	1605.000000
P43-DIP-C02	77825.606700	-13457.649200	1605.000000
P43-DIP-C03	78073.236300	-13498.644000	1605.000000
P43-DIP-C04	78258.121300	-12381.844400	1605.000000
P44-DIP-C01	75848.637000	-22020.845400	1605.000000
P44-DIP-C02	75525.237800	-23105.666600	1605.000000
P44-DIP-C03	75765.776800	-23177.374400	1605.000000
P44-DIP-C04	76089.176000	-22092.553200	1605.000000
P45-DIP-C01	72490.604100	-31353.559400	1605.000000
P45-DIP-C02	72033.790800	-32389.293800	1605.000000
P45-DIP-C03	72263.445700	-32490.583600	1605.000000
P45-DIP-C04	72720.259000	-31454.849300	1605.000000
P46-DIP-C01	67989.351100	-40191.809100	1605.000000
P46-DIP-C02	67406.328000	-41162.122500	1605.000000
P46-DIP-C03	67621.477000	-41291.397000	1605.000000
P46-DIP-C04	68204.500100	-40321.083600	1605.000000
P47-DIP-C01	62415.865300	-48396.209900	1605.000000
P47-DIP-C02	61715.827000	-49285.799900	1605.000000
P47-DIP-C03	61913.077100	-49441.020400	1605.000000
P47-DIP-C04	62613.115400	-48551.430400	1605.000000
P48-DIP-C01	55858.044100	-55837.373500	1605.000000
P48-DIP-C02	55052.030600	-56632.210800	1605.000000
P48-DIP-C03	55228.271000	-56810.929300	1605.000000
P48-DIP-C04	56034.284500	-56016.092100	1605.000000
P49-DIP-C01	48419.308200	-62397.948400	1605.000000
P49-DIP-C02	47520.030800	-63085.497900	1605.000000
P49-DIP-C03	47672.482200	-63284.896000	1605.000000
P49-DIP-C04	48571.759500	-62597.346500	1605.000000
P50-DIP-C01	40216.970800	-67974.470400	1605.000000
P50-DIP-C02	39238.611700	-68543.889000	1605.000000
P50-DIP-C03	39364.869800	-68760.822000	1605.000000
P50-DIP-C04	40343.228800	-68191.403400	1605.000000
P09-QUAD01-C02	-40650.779200	-67830.943700	1605.000000
P09-QUAD01-C03	-40806.783600	-67737.206800	1605.000000
P09-QUAD01-C01	-40544.681300	-67654.367200	1605.000000
P09-QUAD01-C04	-40700.685800	-67560.630300	1605.000000
P08-SEXT01-C04	-31586.430800	-72272.705200	1605.000000
P08-SEXT01-C01	-31522.383600	-72300.953400	1605.000000
P08-SEXT01-C02	-31605.514000	-72489.435100	1605.000000
P08-SEXT01-C03	-31669.561100	-72461.186900	1605.000000
P08-QUAD01-C02	-31828.764100	-72390.970000	1605.000000
P08-QUAD01-C01	-31745.633800	-72202.488300	1605.000000
P08-QUAD01-C04	-31912.156500	-72129.043100	1605.000000
P08-QUAD01-C03	-31995.286800	-72317.524800	1605.000000
P11-QUAD01-C02	-56242.529900	-55590.472200	1605.000000
P11-QUAD01-C03	-56370.321800	-55460.883400	1605.000000
P11-QUAD01-C01	-56095.852600	-55445.828600	1605.000000
P11-QUAD01-C04	-56223.644400	-55316.239900	1605.000000
P10-SEXT01-C04	-48567.575900	-62146.899400	1605.000000
P10-SEXT01-C01	-48512.565900	-62190.188000	1605.000000
P10-SEXT01-C02	-48639.958100	-62352.074500	1605.000000
P10-SEXT01-C03	-48694.968000	-62308.785900	1605.000000
P10-QUAD01-C02	-48831.707100	-62201.182800	1605.000000
P10-QUAD01-C01	-48704.315000	-62039.296300	1605.000000
P10-QUAD01-C04	-48847.341000	-61926.746000	1605.000000
P10-QUAD01-C03	-48974.733100	-62088.632500	1605.000000
P13-QUAD01-C02	-68300.355700	-39857.046800	1605.000000
P13-QUAD01-C03	-68391.905300	-39699.748800	1605.000000
P13-QUAD01-C01	-68122.315100	-39753.424700	1605.000000
P13-QUAD01-C04	-68213.864700	-39596.126700	1605.000000
P12-SEXT01-C04	-62497.041600	-48116.175300	1605.000000
P12-SEXT01-C01	-62454.525300	-48171.784300	1605.000000
P12-SEXT01-C02	-62618.174700	-48296.903700	1605.000000
P12-SEXT01-C03	-62660.691000	-48241.294700	1605.000000
P12-QUAD01-C02	-62766.374400	-48103.066600	1605.000000
P12-QUAD01-C01	-62602.725000	-47977.947100	1605.000000
P12-QUAD01-C04	-62713.267400	-47833.363700	1605.000000
P12-QUAD01-C03	-62876.916800	-47958.483100	1605.000000
P15-QUAD01-C02	-76066.618900	-21619.256700	1605.000000
P15-QUAD01-C03	-76116.173900	-21444.133000	1605.000000
P15-QUAD01-C01	-75868.402000	-21563.166900	1605.000000
P15-QUAD01-C04	-75917.957000	-21388.043300	1605.000000
P14-SEXT01-C04	-72499.588300	-31062.134900	1605.000000
P14-SEXT01-C01	-72472.237100	-31126.570300	1605.000000
P14-SEXT01-C02	-72661.861100	-31207.060900	1605.000000
P14-SEXT01-C03	-72689.212300	-31142.625500	1605.000000
P14-QUAD01-C02	-72757.199500	-30982.457700	1605.000000
P14-QUAD01-C01	-72567.575500	-30901.967100	1605.000000
P14-QUAD01-C04	-72638.688600	-30734.435200	1605.000000
P14-QUAD01-C03	-72828.312600	-30814.925800	1605.000000
